,SEASON,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,WEIGHT,WINGSPAN,STANDING_REACH,STANDING_REACH_FT_IN,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS
29,2001,2228,Alton,Ford,Alton Ford,PF,80.25,271,82.5,102.5,8' 6.5'',34.5,36.5,11.7,3.16,21.0
30,2001,2218,Joseph,Forte,Joseph Forte,SG,75.5,193,78.5,100.5,8' 4.5'',26.5,33.0,11.51,3.19,10.0
31,2001,-1,Jason,Gardner,Jason Gardner,PG,69.75,188,73.25,92.5,7' 8.5'',34.5,40.0,10.88,2.92,9.0
32,2001,12151,Jerry,Green,Jerry Green,PG-SG,73.5,179,78.25,99.0,8' 3'',28.5,35.0,11.7,3.17,13.0
33,2001,12152,Kenny,Gregory,Kenny Gregory,SF,75.5,200,83.25,101.0,8' 5'',39.5,45.5,11.33,3.1,10.0
34,2001,2204,Eddie,Griffin,Eddie Griffin,PF-SF,81.25,222,87.0,110.0,9' 2'',26.5,33.0,11.77,3.21,3.0
35,2001,2239,Trenton,Hassell,Trenton Hassell,SG-SF,76.25,205,80.0,99.5,8' 3.5'',35.5,37.5,11.57,3.29,12.0
36,2001,2213,Kirk,Haston,Kirk Haston,PF-SF,80.0,242,84.25,106.0,8' 10'',27.0,31.5,12.25,3.35,11.0
38,2001,2217,Brendan,Haywood,Brendan Haywood,C,83.75,266,90.5,113.5,9' 5.5'',27.0,28.5,12.87,3.5,17.0
39,2001,12154,Michael,Hicks,Michael Hicks,SG,76.0,197,81.25,100.5,8' 4.5'',33.0,40.5,11.38,3.19,13.0
40,2001,2212,Steven,Hunter,Steven Hunter,C-PF,82.25,224,88.0,108.0,9' 0'',30.5,38.5,11.99,3.15,11.0
41,2001,12155,Andre,Hutson,Andre Hutson,PF,80.25,244,83.75,105.5,8' 9.5'',29.0,32.5,11.25,3.3,17.0
42,2001,12156,Nate,James,Nate James,SF,76.75,196,82.75,103.0,8' 7'',26.0,31.0,11.42,3.31,23.0
43,2001,2210,Richard,Jefferson,Richard Jefferson,SF,79.25,223,84.0,103.0,8' 7'',33.0,38.5,11.19,3.15,14.0
44,2001,2798,Horace,Jenkins,Horace Jenkins,PG,71.75,171,77.25,97.0,8' 1'',34.5,41.0,10.97,3.1,2.0
45,2001,12157,Darrell,Johns,Darrell Johns,C,83.25,278,89.0,111.5,9' 3.5'',23.5,30.0,12.41,3.59,18.0
46,2001,2256,Ken,Johnson,Ken Johnson,C,82.75,227,88.0,109.5,9' 1.5'',32.5,35.0,11.27,3.12,13.0
47,2001,2207,Joe,Johnson,Joe Johnson,SF-SG,78.75,226,81.0,105.0,8' 9'',32.5,36.5,12.05,3.4,12.0
48,2001,12158,Darren,Kelly,Darren Kelly,SG-PG,74.0,178,78.75,100.0,8' 4'',30.5,34.5,11.38,3.21,1.0
49,2001,2253,Sean,Lampley,Sean Lampley,SF,77.5,213,81.25,101.0,8' 5'',36.0,40.0,11.06,3.12,12.0
50,2001,12159,Zach,Marbury,Zach Marbury,PG-SG,73.25,183,75.5,96.5,8' 0.5'',33.0,36.5,11.53,3.1,0.0
51,2001,12160,Mike,Mardesich,Mike Mardesich,C-PF,82.25,247,84.5,108.5,9' 0.5'',24.0,30.0,11.65,3.45,8.0
52,2001,12161,DeMarcus,Minor,DeMarcus Minor,SG,75.25,207,80.25,99.5,8' 3.5'',29.0,41.0,10.57,3.15,9.0
53,2001,200081,Jamario,Moon,Jamario Moon,SF,78.5,185,83.5,103.0,8' 7'',33.0,43.0,11.64,3.08,0.0
54,2001,2211,Troy,Murphy,Troy Murphy,PF,81.75,230,83.0,105.5,8' 9.5'',28.5,34.5,11.22,3.43,11.0
55,2001,12162,Troy,Ostler,Troy Ostler,PF-SF,80.75,200,85.5,106.5,8' 10.5'',26.5,29.5,13.42,3.5,2.0
56,2001,40046,Lazaros,Papadopoulos,Lazaros Papadopoulos,C-PF,82.25,227,86.5,110.5,9' 2.5'',23.0,26.0,12.0,3.7,4.0
57,2001,12164,Rashad,Phillips,Rashad Phillips,PG,69.0,166,73.5,92.0,7' 8'',27.0,32.0,11.93,3.27,5.0
58,2001,12165,Demetrius,Porter,Demetrius Porter,PG,70.75,178,74.75,94.0,7' 10'',26.0,31.0,11.5,3.34,5.0
59,2001,12166,Martin,Rancik,Martin Rancik,PF-SF,80.75,230,80.0,102.5,8' 6.5'',32.0,37.0,10.77,3.19,14.0
60,2001,2202,Jason,Richardson,Jason Richardson,SF-SG,76.75,213,83.5,102.5,8' 6.5'',32.5,39.5,11.75,3.12,15.0
61,2001,2369,Norman,Richardson,Norman Richardson,SG,75.5,180,76.5,99.0,8' 3'',30.5,35.5,10.97,3.15,2.0
62,2001,2219,Jeryl,Sasser,Jeryl Sasser,PG-SG,77.5,194,82.5,103.5,8' 7.5'',29.0,34.0,11.47,3.22,1.0
63,2001,12167,Kenny,Satterfield,Kenny Satterfield,PG,73.0,176,76.5,98.0,8' 2'',28.5,33.0,12.05,3.2,3.0
64,2001,2243,Brian,Scalabrine,Brian Scalabrine,PF-SF,80.75,241,81.75,105.5,8' 9.5'',27.0,30.5,11.75,3.47,14.0
65,2001,12168,Lee,Scruggs,Lee Scruggs,PF-SF,82.25,209,89.75,110.5,9' 2.5'',23.5,29.5,13.28,3.55,0.0
66,2001,2250,Bobby,Simmons,Bobby Simmons,SF,78.25,235,84.25,105.0,8' 9'',27.5,34.0,11.69,3.41,12.0
67,2001,2226,Will,Solomon,Will Solomon,PG-SG,71.75,172,81.5,99.5,8' 3.5'',28.5,35.0,11.3,3.22,4.0
68,2001,12169,Greg,Stevenson,Greg Stevenson,SF,75.75,215,84.5,102.0,8' 6'',30.0,35.5,11.29,3.23,15.0
69,2001,12170,Damone,Thornton,Damone Thornton,PF,78.75,235,85.75,103.7,8' 7.75'',33.5,37.5,11.17,3.2,19.0
70,2001,2224,Jamaal,Tinsley,Jamaal Tinsley,PG,72.75,199,79.5,97.5,8' 1.5'',28.0,37.5,11.96,3.2,1.0
71,2001,12171,Tory,Walker,Tory Walker,SF,78.75,187,83.25,104.5,8' 8.5'',28.0,33.0,11.95,3.25,7.0
72,2001,12172,Souleymane,Wane,Souleymane Wane,C,80.5,235,89.0,109.0,9' 1'',29.0,30.5,12.02,3.46,9.0
73,2001,2248,Earl,Watson,Earl Watson,PG,72.0,184,78.75,97.0,8' 1'',32.5,37.5,10.97,3.19,4.0
74,2001,2206,Rodney,White,Rodney White,SF,79.5,243,83.5,104.5,8' 8.5'',27.5,33.0,12.07,3.47,16.0
75,2001,2254,Loren,Woods,Loren Woods,C-PF,84.75,246,89.5,113.0,9' 5'',24.5,28.0,11.83,3.48,10.0
76,2001,12041,Michael,Wright,Michael Wright,PF,79.0,247,83.5,106.5,8' 10.5'',27.5,33.5,11.37,3.21,18.0
77,2001,12040,Brent,Wright,Brent Wright,PF-SF,79.75,236,85.5,105.5,8' 9.5'',23.0,29.0,12.25,3.3,19.0
0,2002,2403,Nene,,Nene ,PF,81.25,253,88.5,109.0,9' 1'',30.0,34.0,10.73,3.19,16.0
1,2002,2425,Robert,Archibald,Robert Archibald,PF-C,82.0,250,83.75,109.5,9' 1.5'',24.0,27.5,11.34,3.33,10.0
2,2002,2486,Maurice,Baker,Maurice Baker,PG,71.75,178,76.0,96.0,8' 0'',29.5,33.0,12.19,3.29,2.0
3,2002,2440,Matt,Barnes,Matt Barnes,SF,78.75,226,81.0,96.5,8' 0.5'',35.5,40.5,10.68,3.28,11.0
4,2002,12286,Lubos,Barton,Lubos Barton,SF-SG,78.5,221,84.0,107.0,8' 11'',25.5,31.5,11.2,3.31,14.0
5,2002,2437,Lonny,Baxter,Lonny Baxter,PF-C,78.25,264,85.5,107.5,8' 11.5'',28.0,32.5,11.77,3.21,14.0
6,2002,12287,Lee,Benson,Lee Benson,SF-PF,80.25,217,85.75,109.0,9' 1'',27.5,32.5,11.44,3.29,14.0
7,2002,2430,Carlos,Boozer,Carlos Boozer,PF,79.75,258,86.25,108.5,9' 0.5'',26.5,28.5,10.77,3.31,13.0
8,2002,2414,Curtis,Borchardt,Curtis Borchardt,C,82.75,238,86.5,112.0,9' 4'',24.0,27.0,12.56,3.63,7.0
9,2002,2452,J.R.,Bremer,J.R. Bremer,SG-PG,73.25,188,74.25,96.0,8' 0'',30.0,35.5,10.93,3.1,24.0
10,2002,12288,Brian,Brown,Brian Brown,PG-SG,74.5,194,79.0,99.0,8' 3'',26.0,33.0,11.43,3.29,8.0
11,2002,12289,Sylvere,Bryan,Sylvere Bryan,PF,81.0,226,88.5,109.5,9' 1.5'',28.5,29.5,12.03,3.2,13.0
12,2002,12290,Chris,Burgess,Chris Burgess,C,82.0,246,83.5,109.0,9' 1'',24.5,31.0,11.58,3.37,24.0
13,2002,2406,Caron,Butler,Caron Butler,SF-SG,77.25,222,83.5,103.5,8' 7.5'',27.0,31.0,12.15,3.33,2.0
14,2002,2446,Rasual,Butler,Rasual Butler,SF,78.75,198,84.0,105.5,8' 9.5'',31.5,37.5,11.54,3.29,10.0
15,2002,12291,Mire,Chatman,Mire Chatman,PG-SG,72.0,174,78.0,98.0,8' 2'',29.0,33.0,11.12,3.18,1.0
16,2002,12042,Chris,Christoffersen,Chris Christoffersen,C,84.75,291,87.5,109.0,9' 1'',28.0,31.0,12.55,3.39,13.0
