,SEASON,PLAYER_ID,FIRST_NAME,LAST_NAME,Player,POSITION,HEIGHT_WO_SHOES,WEIGHT,WINGSPAN,STANDING_REACH,STANDING_REACH_FT_IN,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,Pos,G,MP,FG%,2P%,3P%,FT%,PTS,TRB,AST,STL,BLK,PER,WS,BPM,Year,Pick,Age
90,2013,203516,James,Ennis,James Ennis,SF,77.75,200.8,83.5,104.5,8' 8.5'',29.5,36.5,11.55,3.4,G,33,1093,.491,.585,.357,.834,16.5,6.7,2.1,1.8,1.3,25.3,4.7,7.1,2013,50,22
91,2013,203467,Carrick,Felix,Carrick Felix,SF-SG,76.75,202.6,81.25,103.5,8' 7.5'',32.0,38.5,11.16,3.25,G,35,1235,.500,.573,.374,.664,14.6,8.1,1.6,1.4,1.1,21.5,5.1,6.0,2013,33,22
92,2013,203462,Archie,Goodwin,Archie Goodwin,SG,75.75,189,81.5,102.0,8' 6'',30.0,36.0,10.75,3.27,G,33,1048,.440,.478,.266,.637,14.1,4.6,2.7,1.1,0.5,16.9,3.1,2.1,2013,29,18
93,2013,203524,Solomon,Hill,Solomon Hill,SF,77.5,226,81.0,103.0,8' 7'',29.5,37.5,10.77,3.19,F,35,1154,.458,.508,.390,.766,13.4,5.3,2.7,1.1,0.6,20.1,5.1,8.3,2013,23,22
94,2013,203470,Colton,Iverson,Colton Iverson,C,82.5,262.8,86.0,110.0,9' 2'',26.5,30.0,11.52,3.52,F,35,1033,.596,.596,0,.590,14.2,9.8,1.3,0.6,0.7,27.4,5.7,7.9,2013,53,23
95,2013,203511,Grant,Jerrett,Grant Jerrett,PF,80.75,232,86.0,109.0,9' 1'',28.5,34.0,11.85,3.51,F,34,606,.409,.413,.405,.818,5.2,3.6,0.5,0.5,1.0,16.6,2.3,6.6,2013,40,19
96,2013,203499,Shane,Larkin,Shane Larkin,PG,70.25,170.8,70.75,89.5,7' 5.5'',34.5,44.0,10.64,3.08,G,36,1311,.479,.538,.406,.777,14.5,3.8,4.6,2.0,0.1,22.6,6.5,9.1,2013,18,20
97,2013,203492,Ray,McCallum,Ray McCallum,PG,72.25,191.4,75.25,96.5,8' 0.5'',30.5,40.0,10.82,3.25,G,33,1208,.491,.562,.323,.717,18.7,5.1,4.5,1.9,0.6,25.7,6.0,7.3,2013,36,22
98,2013,203463,Ben,McLemore,Ben McLemore,SG,75.5,189.2,79.75,100.5,8' 4.5'',32.5,42.0,11.87,3.27,G,37,1191,.495,.553,.420,.870,15.9,5.2,2.0,1.0,0.7,23.2,6.5,10.5,2013,7,20
99,2013,203498,Shabazz,Muhammad,Shabazz Muhammad,SF-SG,76.75,221.8,83.0,104.5,8' 8.5'',29.5,37.0,10.99,3.32,G,32,987,.443,.463,.377,.711,17.9,5.2,0.8,0.7,0.1,21.9,3.7,4.7,2013,14,20
