,Year,Player,POSITION,DRAFT_NUMBER,HEIGHT_WO_SHOES,WEIGHT,WINGSPAN,STANDING_REACH,STANDING_REACH_FT_IN,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,Age (Days),DRAFT_NUMBER,G,MP,FG%,2P%,3P%,FT%,PTS,TRB,AST,STL,BLK,WS,BPM,Total Minutes,Seasons Played,Average Minutes
83,2004,Luis Flores,PG-SG,55,72.5,202.0,79.5,98.5,8' 2.5'',29.0,32.0,10.97,3.1,8526,55,31,1121,.442,.478,.374,.863,24.0,3.9,1.6,1.9,0.1,6.1,,77,1,77.0
84,2004,Matt Freije,SF-PF,53,80.25,234.0,85.0,108.5,9' 0.5'',29.5,31.0,11.15,3.25,8697,53,33,985,.415,.452,.356,.788,18.4,5.4,0.9,0.7,0.6,4.6,,575,2,287.5
85,2004,Ben Gordon,PG-SG,3,73.0,192.0,80.5,99.0,8' 3'',31.5,37.5,11.28,3.19,7789,3,39,1346,.434,.434,.433,.829,18.5,4.7,4.5,1.4,0.2,7.0,,20349,11,1849.909090909091
86,2004,Devin Harris,PG,5,73.75,170.0,79.5,98.5,8' 2.5'',30.5,37.0,11.03,3.19,7752,5,32,1162,.459,.540,.373,.792,19.5,4.3,4.4,1.8,0.1,7.8,,23948,15,1596.5333333333333
87,2004,Kris Humphries,PF,14,80.25,238.0,84.5,106.5,8' 10.5'',29.5,36.0,11.33,3.2,7001,14,29,990,.444,.455,.340,.742,21.7,10.1,0.7,0.9,1.1,3.5,,14241,13,1095.4615384615386
88,2004,Jameer Nelson,PG,20,71.0,199.0,74.5,95.0,7' 11'',28.5,33.5,10.95,3.14,8099,20,32,1085,.475,.526,.390,.792,20.6,4.7,5.3,2.8,0.0,6.6,,24506,14,1750.4285714285713
89,2004,Emeka Okafor,C-PF,2,80.75,257.0,88.0,110.5,9' 2.5'',31.5,34.0,12.32,3.15,8328,2,36,1166,.599,.599,0,.518,17.6,11.5,1.0,1.0,4.1,9.9,,19050,10,1905.0
90,2004,Bernard Robinson,SG-SF,45,77.25,208.0,82.0,102.0,8' 6'',28.5,34.5,10.91,3.17,9146,45,34,1095,.432,.477,.250,.770,12.1,5.7,3.8,1.9,0.3,3.5,,1913,3,637.6666666666666
91,2004,Kirk Snyder,SG-SF,16,78.0,228.0,81.0,104.0,8' 8'',30.0,35.0,10.79,3.13,7850,16,34,1079,.431,.470,.348,.731,18.8,5.7,3.4,1.0,0.6,5.2,,3534,4,883.5
92,2004,Pape Sow,PF-C,47,80.5,233.0,86.0,108.5,9' 0.5'',28.0,31.5,12.13,3.27,8747,47,28,901,.494,.507,.333,.675,17.3,9.7,0.9,1.6,0.6,3.9,,875,3,291.6666666666667
