,Player,Height w/o Shoes,Height w/ Shoes,Weight,Wingspan,Standing Reach,Body Fat %,Hand Length,Hand Width,Year
41,Shabazz Napier,180.34,185.42,175.2,191.13,236.22,7.40,8.25,8.50,2014
42,Johnny O'Bryant,201.3,204.47,256.8,219.08,266.7,10.75,9.25,9.50,2014
43,Lamar Patterson,193.04,196.22,226.0,210.82,256.54,10.80,9.00,9.25,2014
44,Adreian Payne,205.74,207.65,238.5,223.52,276.86,7.60,9.25,9.50,2014
45,Elfrid Payton,189.23,192.41,185.4,203.2,250.19,5.65,8.75,9.00,2014
46,Dwight Powell,207.01,210.82,234.4,214.63,266.7,6.20,9.00,9.25,2014
47,Julius Randle,202.56,205.74,249.7,213.36,267.97,9.40,8.75,8.25,2014
48,Glenn Robinson,196.85,200.1,211.4,208.28,255.27,5.05,9.00,9.50,2014
49,LaQuinton Ross,199.39,201.93,238.7,217.81,269.24,16.30,8.75,9.75,2014
50,Marcus Smart,187.96,191.13,227.2,206.38,251.46,10.55,9.00,8.75,2014
51,Russ Smith,181.61,184.78,160.0,191.77,241.3,3.50,8.25,8.50,2014
52,Nik Stauskas,196.22,199.39,206.9,202.56,259.08,12.10,8.50,8.50,2014
53,Jarnell Stokes,200.66,204.47,262.8,216.41,262.89,8.20,9.75,10.50,2014
54,Xavier Thames,188.59,191.77,187.0,193.04,243.84,6.40,8.25,9.00,2014
55,Noah Vonleh,203.2,207.01,247.1,224.16,274.32,7.30,9.75,11.75,2014
56,TJ Warren,200.66,203.84,220.2,208.79,264.16,8.00,8.75,9.00,2014
57,CJ Wilcox,191.77,195.58,201.0,207.65,255.27,6.50,8.75,9.00,2014
58,Kendall Williams,188.59,192.41,183.0,196.85,251.46,7.20,8.00,7.75,2014
59,James Young,196.22,200.03,213.3,213.36,264.16,5.10,9.00,9.50,2014
60,Patric Young,204.47,208.28,246.8,217.81,262.89,5.45,9.25,9.25,2014
1,Cliff Alexander,201.3,204.47,239.2 ,220.98,278.13,5.80,9.50,10.25,2015
2,Justin Anderson,196.22,198.75,230.6,212.72,256.54,5.00,8.50,9.50,2015
3,Brandon Ashley,201.3,204.47,228.0,221.62,266.7,8.80,9.00,9.50,2015
4,Ryan Boatright,177.8,180.34,169.6,184.15,234.95,6.60,7.50,8.75,2015
5,Devin Booker,194.31,197.49,205.8,203.84,260.35,8.30,8.75,9.00,2015
6,Anthony Brown,196.22,204.47,211.0,211.46,265.43,6.10,8.50,9.00,2015
7,Willie Cauley-Stein,211.46,214.63,242.4,220.98,281.94,6.30,9.50,9.00,2015
9,Pat Connaughton,193.04,196.22,215.0,205.1,243.84,10.20,8.50,9.25,2015
10,Quinn Cook,183.52,187.96,179.0,193.04,245.11,6.70,7.50,8.25,2015
11,Branden Dawson,196.85,200.03,230.2,210.82,266.7,5.80,9.00,8.75,2015
12,Sam Dekker,202.56,205.74,218.6,212.09,269.24,7.50,8.50,9.25,2015
13,Michael Frazier,192.41,193.68,199.4,203.2,257.81,7.40,8.25,9.25,2015
14,Treveon Graham,194.94,197.49,219.4,209.55,261.62,5.50,8.50,8.25,2015
15,Jerian Grant,191.13,193.68,198.0,201.93,254.0,5.60,8.25,8.50,2015
16,Olivier Hanlan,191.13,193.68,185.8,199.39,254.0,4.30,8.00,8.75,2015
17,Montrezl Harrell,200.66,201.93,253.4,224.16,276.86,11.90,9.00,9.75,2015
18,Aaron Harrison,194.31,198.12,209.2,203.84,255.27,6.00,8.30,10.00,2015
19,Andrew Harrison,194.31,196.85,213.2,205.74,254.0,5.90,8.25,9.25,2015
20,Tyler Harvey,189.87,193.04,181.4,196.85,250.19,9.20,7.75,8.75,2015
21,Corey Hawkins,184.78,187.32,191.8,203.2,252.73,5.50,8.30,9.00,2015
22,Rondae Hollis-Jefferson,196.85,200.66,210.8,218.44,264.16,5.00,8.75,9.75,2015
23,Jonathan Holmes,203.84,206.38,242.2,212.09,273.05,7.20,8.25,9.50,2015
24,Richaun Holmes,203.84,207.01,242.8,217.17,274.32,8.80,8.50,8.50,2015
25,RJ Hunter,194.31,198.12,185.0,209.55,264.16,6.00,8.50,8.25,2015
27,Mouhammadou Jaiteh,207.01,209.55,246.8,221.62,280.67,9.90,9.00,9.25,2015
28,Dakari Johnson,210.82,212.72,264.6,218.44,284.48,14.90,9.25,10.50,2015
29,Stanley Johnson,195.58,199.39,241.8,212.09,259.08,7.50,9.00,9.00,2015
30,Tyus Jones,183.52,187.96,184.6,195.58,246.38,6.50,8.25,8.75,2015
31,Frank Kaminsky,212.72,215.27,231.2,210.82,278.13,9.40,8.50,9.50,2015
32,Kevon Looney,203.2,206.38,222.4,222.25,279.4,11.90,9.50,9.25,2015
33,Trey Lyles,205.74,208.91,241.2,217.17,274.32,12.10,9.25,10.25,2015
35,TJ McConnell,184.15,187.96,187.8,187.96,245.11,7.30,7.50,7.00,2015
36,Chris McCullough,203.84,205.74,199.0,221.62,276.86,6.20,8.75,8.75,2015
37,Jordan Mickey,200.66,203.84,238.0,221.49,269.24,7.20,8.75,9.50,2015
38,Larry Nance,201.93,204.47,226.6,217.17,274.32,6.40,9.00,9.75,2015
39,Kelly Oubre,197.49,200.03,202.8,219.08,260.35,5.70,9.00,8.75,2015
40,Cameron Payne,184.78,186.69,182.6,201.3,247.65,6.30,8.50,8.25,2015
41,Terran Petteway,194.94,198.12,209.2 ,211.33,265.43,4.90,8.25,8.25,2015
42,Bobby Portis,207.01,209.55,246.2,218.44,275.59,8.90,9.50,9.25,2015
43,Norman Powell,190.5,193.68,215.4,210.19,260.35,6.40,9.25,9.00,2015
44,Michael Qualls,193.04,195.58,201.4,214.0,265.43,4.00,9.00,10.25,2015
45,Chasson Randle,184.78,186.69,178.8,200.66,245.11,4.50,8.50,9.50,2015
46,Terry Rozier,184.78,188.59,190.2,203.84,250.19,5.60,8.25,8.75,2015
47,D'Angelo Russell,191.13,195.58,193.4,207.65,259.08,8.30,8.75,9.75,2015
48,Keifer Sykes,179.07,182.25,167.2,187.96,236.22,5.00,8.50,9.50,2015
49,Tashawn Thomas,201.3,203.2,240.2,218.44,274.32,12.40,9.00,9.25,2015
50,Marcus Thornton,187.32,189.87,177.4,202.56,247.65,5.30,8.25,8.50,2015
51,JP Tokoto,196.22,198.75,195.8,208.28,255.27,4.10,8.00,8.75,2015
52,Myles Turner,207.65,212.09,238.6,223.52,284.48,9.30,9.25,9.25,2015
53,Robert Upshaw,210.19,213.36,258.2,227.33,287.02,12.50,10.00,11.00,2015
54,Rashad Vaughn,192.41,195.58,198.6,200.66,256.54,6.20,8.00,8.50,2015
55,Chris Walker,205.1,206.38,208.0,220.34,274.32,5.10,9.00,9.00,2015
57,Aaron White,202.56,205.1,219.8,212.09,270.51,8.00,8.25,9.25,2015
58,Alan Williams,201.3,203.84,261.4,217.81,270.51,12.00,8.50,9.50,2015
59,Justise Winslow,194.31,199.39,221.8,208.91,265.43,5.30,8.50,9.25,2015
60,Christian Wood,206.38,209.55,216.0,221.62,283.21,14.70,9.25,10.75,2015
61,Delon Wright,193.68,196.85,181.4,201.93,257.81,6.60,8.00,8.50,2015
62,Joseph Young,184.78,187.96,182.2,195.58,240.03,4.10,8.25,7.50,2015
63,George de Paula,194.31,196.85,197.0,213.36,264.16,6.70,9.50,10.00,2015
1,Ron Baker,191.13,193.68,212.4,207.65,247.65,7.85,8.75,9.50,2016
2,Wade Baldwin,189.23,193.04,201.8,211.46,254.0,5.20,9.00,9.75,2016
3,Anthony Barber,186.69,189.87,173.0,196.85,242.57,4.50,8.00,8.50,2016
4,Malik Beasley,191.77,194.31,189.8,200.66,255.27,6.90,8.50,9.00,2016
5,DeAndre Bembry,193.68,197.49,206.6,206.38,256.54,7.00,8.00,9.25,2016
6,Ben Bentil,201.3,203.84,229.2,217.17,266.7,9.70,9.50,10.00,2016
7,Jaron Blossomgame,198.75,201.3,213.6,208.28,259.08,5.25,8.50,10.00,2016
8,Joel Bolomboy,201.93,205.74,224.4,217.81,262.89,5.15,9.00,10.25,2016
9,Malcolm Brogdon,192.41,196.85,223.0,209.55,248.92,5.40,9.00,10.25,2016
10,Jaylen Brown,196.22,200.03,222.8,212.72,260.35,5.05,8.75,9.00,2016
11,Robert Carter Jr,200.03,204.47,250.6,221.62,270.51,12.45,8.75,9.50,2016
12,Marquese Chriss,205.1,208.28,233.0,214.0,266.7,8.50,9.00,9.00,2016
13,Elgin Cook,195.58,198.75,209.8,208.28,255.27,6.35,8.50,10.25,2016
14,Isaiah Cousins,191.13,194.31,194.0,198.75,250.19,4.80,8.25,8.75,2016
15,Deyonta Davis,206.38,209.55,237.2,219.71,275.59,9.70,9.00,9.25,2016
16,Cheick Diallo,201.93,205.74,218.6,224.79,273.05,5.60,8.50,9.75,2016
18,Henry Ellenson,208.28,212.09,242.0,219.08,274.32,11.20,8.50,9.75,2016
19,Perry Ellis,200.66,203.84,217.8,208.91,259.08,4.60,8.00,8.50,2016
20,AJ English,187.96,190.5,182.2,208.28,250.19,5.30,8.75,8.50,2016
21,Kahlil Felder,173.35,176.53,177.2,189.23,224.79,5.80,8.25,8.50,2016
22,Dorian Finney-Smith,199.39,202.56,212.6,212.72,252.73,6.45,9.00,9.75,2016
23,Michael Gbinije,196.85,200.03,204.6,201.93,256.54,5.40,8.00,9.00,2016
24,Daniel Hamilton,198.75,203.2,197.0,205.74,262.89,5.95,9.00,8.50,2016
25,Josh Hart,193.04,196.85,203.6,204.47,252.73,5.75,8.50,9.25,2016
26,Nigel Hayes,198.75,201.3,245.0,220.98,257.81,10.90,8.50,9.50,2016
27,Buddy Hield,192.41,195.58,212.4,206.38,256.54,6.10,8.50,9.00,2016
29,Demetrius Jackson,182.88,186.06,193.8,196.85,236.22,6.50,8.25,9.00,2016
30,Justin Jackson,200.66,203.84,193.4,210.19,262.89,7.60,8.75,8.75,2016
31,Brice Johnson,205.74,209.55,208.6,214.63,270.51,7.50,9.00,8.25,2016
32,Damian Jones,208.91,212.09,243.6,222.88,271.78,6.55,8.75,10.50,2016
33,Skal Labissiere,209.55,212.72,215.8,219.71,267.97,5.70,8.75,9.00,2016
34,Dedric Lawson,200.66,203.2,224.8,218.44,270.51,11.05,9.50,9.50,2016
35,Jake Layman,203.2,206.38,208.6,206.38,259.08,7.10,8.25,9.25,2016
36,Caris LeVert,197.49,200.66,191.0,208.28,256.54,7.55,8.50,9.25,2016
37,Marcus Lee,205.74,208.91,211.0,220.98,273.05,5.35,9.00,9.00,2016
38,Thon Maker,212.72,215.27,216.0,220.98,280.67,6.05,8.75,9.50,2016
39,Patrick McCaw,196.22,200.03,180.8,208.28,255.27,4.70,8.75,8.75,2016
40,Sheldon McClellan,195.58,198.75,198.2,200.66,252.73,4.75,8.00,8.00,2016
41,Isaiah Miles,200.03,202.56,219.6,209.55,266.7,9.60,9.00,9.50,2016
42,Malik Newman,188.59,191.77,182.2,197.49,247.65,5.60,8.25,9.25,2016
43,Georges Niang,200.03,204.47,230.8,208.28,261.62,10.05,9.25,9.25,2016
44,Chinanu Onuaku,205.74,208.28,245.2,220.34,275.59,8.55,9.00,8.00,2016
45,Marcus Paige,184.15,187.32,163.8,198.75,246.38,4.30,7.75,8.75,2016
46,Gary Payton,187.96,190.5,183.8,203.2,252.73,3.95,8.75,9.50,2016
47,Jakob Poeltl,214.0,215.9,239.0,220.34,267.97,5.80,9.25,10.25,2016
48,Taurean Prince,199.39,202.56,220.2,212.09,259.08,6.45,9.00,8.50,2016
49,Zhou Qi,216.53,219.08,218.2,233.05,285.75,4.85,9.25,9.50,2016
50,Malachi Richardson,194.94,198.75,199.6,213.36,257.81,7.00,8.75,10.00,2016
51,Wayne Selden,193.68,197.49,232.4,209.55,256.54,7.30,9.00,9.25,2016
52,Pascal Siakam,203.84,207.01,226.6,221.62,273.05,5.20,9.25,10.00,2016
54,Diamond Stone,205.74,208.91,254.4,220.34,275.59,12.85,8.50,7.75,2016
55,Caleb Swanigan,201.93,204.47,246.6,222.25,271.78,12.55,9.00,10.25,2016
56,Melo Trimble,186.06,189.23,191.8,187.96,234.95,8.35,8.00,8.75,2016
57,Tyler Ulis,174.62,177.8,149.2,187.96,224.79,5.20,7.50,7.50,2016
58,Jarrod Uthoff,204.47,207.65,214.4,212.09,264.16,6.00,8.75,9.00,2016
59,Denzel Valentine,193.04,197.49,210.4,210.19,259.08,9.20,8.50,9.75,2016
60,Isaiah Whitehead,191.13,194.31,210.0,205.1,254.0,9.25,8.50,8.75,2016
61,Troy Williams,197.49,200.03,217.8,203.84,259.08,10.00,8.25,9.25,2016
62,Kyle Wiltjer,205.1,208.28,242.8,214.0,260.35,15.25,8.25,9.50,2016
1,Bam Adebayo,205.1,207.65,242.6,220.34,274.32,5.2,9.5,8.75,2017
2,Rawle Alkins,189.23,192.41,222.6,205.1,251.46,11,8.75,10,2017
3,Jarrett Allen,205.74,208.91,233.6,226.69,278.13,7.4,9.5,10.5,2017
4,Kadeem Allen,185.42,188.59,192.4,206.38,252.73,6.4,8.5,8.75,2017
5,Ike Anigbogu,204.47,207.65,252.2,229.24,280.67,5.4,9.5,10,2017
6,OG Anunoby,198.75,202.56,232.4,219.08,273.05,6.8,9.25,9.5,2017
7,Jamel Artis,196.85,200.03,213.2,208.28,266.7,11.9,9.25,9.75,2017
8,Dwayne Bacon,194.94,198.75,221.6,208.28,262.89,7.9,8.75,10,2017
9,VJ Beachem,198.75,203.2,193.4,208.91,265.43,6.8,8.5,9,2017
10,Jordan Bell,200.66,204.47,223.6,212.72,265.43,5.4,9.25,9.5,2017
11,Jaron Blossomgame,197.49,200.03,218.6,208.28,265.43,5.7,8.75,10.25,2017
12,Chris Boucher,203.2,207.01,182.2,223.52,280.67,5.4,9.25,10.5,2017
13,Tony Bradley,206.38,210.19,248.8,226.06,285.75,12,9.5,9.5,2017
14,Isaiah Briscoe,186.06,189.87,222.4,205.74,252.73,11,9,9.25,2017
15,Dillon Brooks,195.58,198.12,220.2,198.12,255.27,7.5,8.25,9.25,2017
16,Thomas Bryant,207.01,210.19,247.8,228.6,285.75,9.4,9.5,10.25,2017
17,John Collins,203.84,207.01,225.2,211.46,270.51,5.4,9,10,2017
18,Zach Collins,208.91,213.36,232.2,215.9,281.94,8.9,8.75,9.25,2017
19,Hamidou Diallo,192.41,195.58,197.4,211.46,257.81,5.2,8.5,9.5,2017
20,Tyler Dorsey,190.5,194.31,182.6,196.22,252.73,4.7,8.5,9.25,2017
21,Damyean Dotson,194.31,196.85,205.2,205.74,254.0,5.3,8.5,9.25,2017
22,PJ Dozier,196.22,200.03,200.6,210.82,256.54,6.1,8.5,9.5,2017
23,Jawun Evans,179.71,181.61,185.2,196.85,241.3,9.1,8,7.75,2017
24,Terrance Ferguson,196.85,200.66,184.4,205.1,261.62,5.8,8.5,10,2017
25,De'Aaron Fox,187.96,191.13,169.6,199.39,254.0,4.5,8.5,8.5,2017
26,Harry Giles,206.38,209.55,232,221.62,278.13,5.2,9.5,10.75,2017
27,Josh Hart,192.41,195.58,209.2,203.84,256.54,5.8,8.5,9.5,2017
28,Nigel Hayes,198.75,201.93,254.2,221.62,265.43,11.5,8.75,10,2017
29,Isaiah Hicks,201.3,204.47,233.4,214.63,266.7,7.7,8.75,9.75,2017
30,Wesley Iwundu,196.85,200.03,193.4,215.9,267.97,4,8.75,9.5,2017
31,Frank Jackson,187.96,191.77,201.6,201.93,248.92,6.7,8.25,9,2017
32,Justin Jackson,197.49,200.66,200.8,210.82,265.43,8.1,8.75,9.25,2017
33,Justin Jackson,200.66,203.84,219.4,221.62,271.78,7.1,9,9.5,2017
34,Jonathan Jeanne,215.27,218.44,207.4,229.87,288.29,8.7,9.5,10,2017
35,Peter Jok,193.68,197.49,202.4,203.2,259.08,11,8.25,9.5,2017
